etablissement_id,site_web,adresse,nb_etudiants,url_logo,url_image
0352446U,http://www.lyceehotelier.com,1 rue du 8 Mai BP 73028 35130 La Guerche-de-Bretagne,172,,http://commons.wikimedia.org/wiki/Special:FilePath/Lyc%C3%A9e%20professionnel%20h%C3%B4telier%20Sainte-Th%C3%A9r%C3%A8se%20de%20La%20Guerche-de-Bretagne.jpg
0590125R,https://www.lhil.fr/,31 passage de l'Internationale BP 90068 59007 Lille,505,,
0590125R,https://www.lhil.fr/,31 passage de l'Internationale BP 90068 59007 Lille,548,,
9760270P,https://lycee-du-nord.ac-mayotte.fr/,BP 120 97630 M tsamboro,1945,,
9760270P,https://lycee-du-nord.ac-mayotte.fr/,BP 120 97630 M tsamboro,2031,,
0300041G,https://marie-curie-saint-jean-du-gard.mon-ent-occitanie.fr/,Route de Florac 30270 Saint-Jean-du-Gard,251,,
0300041G,https://marie-curie-saint-jean-du-gard.mon-ent-occitanie.fr/,Route de Florac 30270 Saint-Jean-du-Gard,280,,
0062015H,http://proviseurelsv.wix.com/lycee-simone-veil,1265 route de Biot 06560 Valbonne,994,,
0062015H,http://proviseurelsv.wix.com/lycee-simone-veil,1265 route de Biot 06560 Valbonne,1029,,
0781984H,http://www.lyc-vaucanson-lesmureaux.ac-versailles.fr/,14 rue Albert Thomas 78130 Les Mureaux,716,,
0781984H,http://www.lyc-vaucanson-lesmureaux.ac-versailles.fr/,14 rue Albert Thomas 78130 Les Mureaux,769,,
0440074S,https://brossaud-blancho.paysdelaloire.e-lyco.fr/,10 boulevard Pierre de Coubertin BP 270 44616 Saint-Nazaire,738,,
0440074S,https://brossaud-blancho.paysdelaloire.e-lyco.fr/,10 boulevard Pierre de Coubertin BP 270 44616 Saint-Nazaire,782,,
0561641E,https://www.lyceemarcellinberthelot.fr/,Avenue Roland Garros BP 90010 56231 Questembert,516,,
0561641E,https://www.lyceemarcellinberthelot.fr/,Avenue Roland Garros BP 90010 56231 Questembert,540,,
0630041C,http://henri-sainte-claire-deville-issoire.ent.auvergnerhonealpes.fr/,3 rue Dessiove 63500 Issoire,275,,
0630041C,http://henri-sainte-claire-deville-issoire.ent.auvergnerhonealpes.fr/,3 rue Dessiove 63500 Issoire,291,,
0601845E,https://la-foret-chantilly.ac-amiens.fr/,Place Georges Paquier BP 60329 60634 Chantilly,437,,
0601845E,https://la-foret-chantilly.ac-amiens.fr/,Place Georges Paquier BP 60329 60634 Chantilly,453,,
9720692V,http://site.ac-martinique.fr/lponordatlantique/,Boulevard de la Voie Lactée 97230 Sainte-Marie,350,,
9720692V,http://site.ac-martinique.fr/lponordatlantique/,Boulevard de la Voie Lactée 97230 Sainte-Marie,355,,
0021818R,https://lyceerobertschuman.fr/,10 route d'Ugny 02300 Chauny,,,
0370053G,http://lycee-eiffel-tours.eu,1 rue du Maréchal Augereau BP 17343 37073 Tours,270,,
